origin,dest,cost
1,51790,27.7
2,51790,265.1
3,51790,18.4
4,51790,193.3
5,51790,241.8
6,51790,256.6
7,51790,153.7
8,51790,123.3
9,51790,186.3
10,51790,453.1
11,51790,320.5
12,51790,19.7
13,51790,208.4
14,51790,136
15,51790,477.6
16,51790,142.3
17,51790,41.3
18,51790,363.4
19,51790,299.2
20,51790,225.1
21,51790,185.8
22,51790,213.4
23,51790,294.4
24,51790,234.7
25,51790,43.1
26,51790,90.6
27,51790,97.3
28,51790,135.8
29,51790,263.3
30,51790,260.9
31,51790,178.4
32,51790,157
33,51790,256.3
1,51790,27.7
2,51790,265.1
3,51790,18.4
4,51790,193.3
5,51790,241.8
6,51790,256.6
7,51790,153.7
8,51790,123.3
9,51790,186.3
10,51790,453.1
11,51790,320.5
12,51790,19.7
13,51790,208.4
14,51790,136
15,51790,477.6
16,51790,142.3
17,51790,41.3
18,51790,363.4
19,51790,299.2
20,51790,225.1
21,51790,185.8
22,51790,213.4
23,51790,294.4
24,51790,234.7
25,51790,43.1
26,51790,90.6
27,51790,97.3
28,51790,135.8
29,51790,263.3
30,51790,260.9
31,51790,178.4
32,51790,157
33,51790,256.3
34,51790,324.7
35,51790,221.9
1,51153,153.1
2,51153,232.2
3,51153,158.4
4,51153,172.3
5,51153,149.1
6,51153,107.6
7,51153,42.6
8,51153,43.7
9,51153,31.3
10,51153,412.7
11,51153,195.7
12,51153,155.2
13,51153,102.1
14,51153,35.2
15,51153,437.2
16,51153,256.7
17,51153,187.4
18,51153,323
19,51153,258.8
20,51153,100.4
21,51153,84.1
22,51153,82.8
23,51153,177.8
24,51153,91
25,51153,141.5
26,51153,97.1
27,51153,159.5
28,51153,36.1
29,51153,211.5
30,51153,102.4
31,51153,132.3
32,51153,99.3
33,51153,119.2
1,51153,153.1
2,51153,232.2
3,51153,158.4
4,51153,172.3
5,51153,149.1
6,51153,107.6
7,51153,42.6
8,51153,43.7
9,51153,31.3
10,51153,412.7
11,51153,195.7
12,51153,155.2
13,51153,102.1
14,51153,35.2
15,51153,437.2
16,51153,256.7
17,51153,187.4
18,51153,323
19,51153,258.8
20,51153,100.4
21,51153,84.1
22,51153,82.8
23,51153,177.8
24,51153,91
25,51153,141.5
26,51153,97.1
27,51153,159.5
28,51153,36.1
29,51153,211.5
30,51153,102.4
31,51153,132.3
32,51153,99.3
33,51153,119.2
34,51153,221.5
35,51153,67.8
1,51041,201.2
2,51041,296
3,51041,206.5
4,51041,226.3
5,51041,240
6,51041,54.9
7,51041,116.6
8,51041,90.8
9,51041,100.1
10,51041,484
11,51041,122.1
12,51041,203.3
13,51041,10
14,51041,84.7
15,51041,508.6
16,51041,304.7
17,51041,235.4
18,51041,394.4
19,51041,330.2
20,51041,26.8
21,51041,31.1
22,51041,173.8
23,51041,252.6
24,51041,31.9
25,51041,189.5
26,51041,145.2
27,51041,207.6
28,51041,94.8
29,51041,294.2
30,51041,177.2
31,51041,186.3
32,51041,92.5
33,51041,58
1,51041,201.2
2,51041,296
3,51041,206.5
4,51041,226.3
5,51041,240
6,51041,54.9
7,51041,116.6
8,51041,90.8
9,51041,100.1
10,51041,484
11,51041,122.1
12,51041,203.3
13,51041,10
14,51041,84.7
15,51041,508.6
16,51041,304.7
17,51041,235.4
18,51041,394.4
19,51041,330.2
20,51041,26.8
21,51041,31.1
22,51041,173.8
23,51041,252.6
24,51041,31.9
25,51041,189.5
26,51041,145.2
27,51041,207.6
28,51041,94.8
29,51041,294.2
30,51041,177.2
31,51041,186.3
32,51041,92.5
33,51041,58
34,51041,296.3
35,51041,57.2
1,51085,32.4
2,51085,267.8
3,51085,23.1
4,51085,196
5,51085,244.5
6,51085,262.5
7,51085,159.6
8,51085,129.2
9,51085,192.2
10,51085,455.8
11,51085,326.4
12,51085,24.5
13,51085,214.3
14,51085,141.9
15,51085,480.3
16,51085,145
17,51085,37.2
18,51085,366.2
19,51085,301.9
20,51085,231
21,51085,191.8
22,51085,219.4
23,51085,297.1
24,51085,240.6
25,51085,45.1
26,51085,96.6
27,51085,100
28,51085,141.7
29,51085,266
30,51085,266.9
31,51085,181.2
32,51085,163
33,51085,262.2
1,51085,32.4
2,51085,267.8
3,51085,23.1
4,51085,196
5,51085,244.5
6,51085,262.5
7,51085,159.6
8,51085,129.2
9,51085,192.2
10,51085,455.8
11,51085,326.4
12,51085,24.5
13,51085,214.3
14,51085,141.9
15,51085,480.3
16,51085,145
17,51085,37.2
18,51085,366.2
19,51085,301.9
20,51085,231
21,51085,191.8
22,51085,219.4
23,51085,297.1
24,51085,240.6
25,51085,45.1
26,51085,96.6
27,51085,100
28,51085,141.7
29,51085,266
30,51085,266.9
31,51085,181.2
32,51085,163
33,51085,262.2
34,51085,327.4
35,51085,227.8
1,51059,422.9
2,51059,190.3
3,51059,414.1
4,51059,262.8
5,51059,231.4
6,51059,469.7
7,51059,353.1
8,51059,354.9
9,51059,393.7
10,51059,99.6
11,51059,552.1
12,51059,403.6
13,51059,440
14,51059,361.5
15,51059,71.7
16,51059,380
17,51059,392.1
18,51059,78.7
19,51059,120.3
20,51059,456.7
21,51059,417.4
22,51059,298
23,51059,251.6
24,51059,453.1
25,51059,389.8
26,51059,397
27,51059,358.8
28,51059,360.9
29,51059,166.3
30,51059,319.3
31,51059,305.7
32,51059,419.1
33,51059,481.3
1,51059,422.9
2,51059,190.3
3,51059,414.1
4,51059,262.8
5,51059,231.4
6,51059,469.7
7,51059,353.1
8,51059,354.9
9,51059,393.7
10,51059,99.6
11,51059,552.1
12,51059,403.6
13,51059,440
14,51059,361.5
15,51059,71.7
16,51059,380
17,51059,392.1
18,51059,78.7
19,51059,120.3
20,51059,456.7
21,51059,417.4
22,51059,298
23,51059,251.6
24,51059,453.1
25,51059,389.8
26,51059,397
27,51059,358.8
28,51059,360.9
29,51059,166.3
30,51059,319.3
31,51059,305.7
32,51059,419.1
33,51059,481.3
34,51059,205.9
35,51059,415.9
1,51059,240.6
2,51059,335.5
3,51059,245.9
4,51059,265.8
5,51059,264.9
6,51059,51.1
7,51059,156.1
8,51059,130.2
9,51059,125
10,51059,523.5
11,51059,102
12,51059,242.7
13,51059,45.4
14,51059,124.2
15,51059,548
16,51059,344.2
17,51059,274.9
18,51059,433.9
19,51059,369.6
20,51059,28.7
21,51059,70.5
22,51059,198.7
23,51059,272.2
24,51059,39.2
25,51059,229
26,51059,184.6
27,51059,247.1
28,51059,134.2
29,51059,327.3
30,51059,196.8
31,51059,225.8
32,51059,132
33,51059,28
1,51059,240.6
2,51059,335.5
3,51059,245.9
4,51059,265.8
5,51059,264.9
6,51059,51.1
7,51059,156.1
8,51059,130.2
9,51059,125
10,51059,523.5
11,51059,102
12,51059,242.7
13,51059,45.4
14,51059,124.2
15,51059,548
16,51059,344.2
17,51059,274.9
18,51059,433.9
19,51059,369.6
20,51059,28.7
21,51059,70.5
22,51059,198.7
23,51059,272.2
24,51059,39.2
25,51059,229
26,51059,184.6
27,51059,247.1
28,51059,134.2
29,51059,327.3
30,51059,196.8
31,51059,225.8
32,51059,132
33,51059,28
34,51059,315.9
35,51059,77.2
1,51059,222.8
2,51059,317.7
3,51059,228.1
4,51059,247.9
5,51059,247
6,51059,32.8
7,51059,138.3
8,51059,112.4
9,51059,107.1
10,51059,505.7
11,51059,97.2
12,51059,224.9
13,51059,27.6
14,51059,106.4
15,51059,530.2
16,51059,326.4
17,51059,257.1
18,51059,416.1
19,51059,351.8
20,51059,8.5
21,51059,52.7
22,51059,180.7
23,51059,254.2
24,51059,21.2
25,51059,211.2
26,51059,166.8
27,51059,229.2
28,51059,116.4
29,51059,309.4
30,51059,178.9
31,51059,208
32,51059,114.2
33,51059,28.1
1,51059,222.8
2,51059,317.7
3,51059,228.1
4,51059,247.9
5,51059,247
6,51059,32.8
7,51059,138.3
8,51059,112.4
9,51059,107.1
10,51059,505.7
11,51059,97.2
12,51059,224.9
13,51059,27.6
14,51059,106.4
15,51059,530.2
16,51059,326.4
17,51059,257.1
18,51059,416.1
19,51059,351.8
20,51059,8.5
21,51059,52.7
22,51059,180.7
23,51059,254.2
24,51059,21.2
25,51059,211.2
26,51059,166.8
27,51059,229.2
28,51059,116.4
29,51059,309.4
30,51059,178.9
31,51059,208
32,51059,114.2
33,51059,28.1
34,51059,297.9
35,51059,59.2
1,51059,11.7
2,51059,274.6
3,51059,18
4,51059,202.8
5,51059,242.4
6,51059,242.6
7,51059,139.7
8,51059,109.3
9,51059,172.3
10,51059,462.6
11,51059,306.5
12,51059,19.3
13,51059,194.4
14,51059,122
15,51059,487.1
16,51059,151.8
17,51059,63.7
18,51059,372.9
19,51059,308.7
20,51059,211.1
21,51059,171.9
22,51059,199.5
23,51059,295
24,51059,220.7
25,51059,45.9
26,51059,76.6
27,51059,106.7
28,51059,121.8
29,51059,272.7
30,51059,247
31,51059,170.8
32,51059,143
33,51059,242.3
1,51059,11.7
2,51059,274.6
3,51059,18
4,51059,202.8
5,51059,242.4
6,51059,242.6
7,51059,139.7
8,51059,109.3
9,51059,172.3
10,51059,462.6
11,51059,306.5
12,51059,19.3
13,51059,194.4
14,51059,122
15,51059,487.1
16,51059,151.8
17,51059,63.7
18,51059,372.9
19,51059,308.7
20,51059,211.1
21,51059,171.9
